Ticket;Nombre comun;Fecha;evento;Ciudad;Vereda;Arboles;Hectareas
591;Guayacán Amarillo, Alcaparro Gigante, Alcaparro Enano, Cámbulo, Gualanday, Chirlobirlo;4/03/2020 0:00;Campaña Adopta un arbol-Grupo Sueños Dorados (Tercera Edad);Medellín;Potrera Miserenga;1700;3.4
653;Guayacán Amarillo, Gualanday;07/27/2020 12:00:00 AM;Siembra-Corredor Verde Potrera Miserengo (proyecto ganador iniciativas Educativo Ambientales);Medellín;Potrera Miserenga;30;0.06
237;bálsamo;11/07/2020 0:00;Cada uno un árbol-Subdirección Administrativa y Financiera;Medellín;Potrerito;1;0.002
702;Quiebrabarrigo, Cedro de Altura, Arrayán, Guayacán de Manizalez, Alcaparro Criollo, Acacia Rosada, Arrayan de Hoja Ancha, Barcino, Caimito, Cascarilla Espinillo Blanco, Ceiba Verde Bonga, Chirimoya, Chocho, Encenillo, Abarco, Arrayan Eugenio, Cojon de Fraile, Guamo Liso, Guayacán Parasiempre, Laurel 1, Mamoncillo, Mestizo, Zanca de Mula, Nadador, carate rojo, Nispero, Algarrobillo, Caoba, Sauco de Monte, Surrumbo, totumo, Barbasco, Balso, Drago, Algarrobo, Algarrobo, Chagualo, Aguacatillo;03/29/2020 12:00:00 AM;SEMBRATON CERRO MEDELLIN;Medellín;Potrerito;315;0.63
705;grosello, MATARATON, NEEM, Quimulá, Guayacán Amarillo, Arrayán, Suribio, Alcaparro Criollo, Acacia Rosada, Barcino, Cacho de Venado, Cascarilla Espinillo Blanco, Chocho Rojo, Urapan, Guamo Liso, Jazmin de Noche, Laurel 1, Zanca de Mula, Ojo de Pava, Chocho, Balso, Algarrobo, Chagualo, Chirlobirlo, Aguacatillo, Nogal Cafetero;06/28/2020 12:00:00 AM;SEMBRATON CERRO MEDELLIN;Medellín;Potrerito;715;1.43
236;acacia amarilla, velero, pera de agua, bálsamo, Arizala, maíz tostado, bola de cañón, grosello, Guayacán Amarillo, Búcaro, Arrayan Eugenio, Gualanday;11/07/2020 0:00;Cada uno un árbol-Subdirección de Sostenibilidad y Gestión Territorial;Medellín;Potrerito;13;0.026
359;Guayacán Amarillo, Arrayan Eugenio, Limón Tahiti, Mango Tommy, Naranja Tangelo, Mandarina Oneco, Aguacate;11/28/2020 12:00:00 AM;Siembra contratista;Medellín;Potrerito;11;0.022
242;Pero de agua, Chagualo;11/07/2020 0:00;Cada uno un árbol;Medellín;Potrerito;2;0.004
267;Guayacan Rosado, Chagualo Amarillo;11/07/2020 0:00;Cada uno un árbol;Medellín;Potrerito;5;0.01
404;Pimiento de Arbol, Drago, Roble;12/13/2020 12:00:00 AM;150-CNT2009-128;Medellín;San José;20;0.04
241;Nispero, Aguacatillo;11/07/2020 0:00;Cada uno un árbol;Medellín;San José de la Montaña;2;0.004
1153;Quimulá, Chaquiro Real, Gallinazo, Nigúito, Palma de Cera Cafetera, Yolombo Blanco, Drago, Chagualo, Roble;09/19/2021 12:00:00 AM;Obligación Contractual;Medellín;San José de la Montaña;75;0.15
1344;Quimulá, Guayacan Amarillo, Arrayán, Roble;10/25/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;55;0.11
1333;Quimulá, Guayacan Amarillo, Guayabo Liso, Acacia, Roble;10/28/2021 12:00:00 AM;SEMBRATON;Medellín;Santa Elena Sector Central;270;0.54
1341;olivo de cera, Alcaparro Enano, Chirlobirlo;11/14/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;12;0.024
1286;Quimulá, Acacia, Nogal Cafetero;10/28/2021 12:00:00 AM;Siembra relacionada al contrato No. 110-CNT2101-5;Medellín;Santa Elena Sector Central;32;0.064
1331;Quimulá, Guayacán Amarillo, Acacia, Nogal Cafetero, Roble;10/13/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;1802;3.604
1675;Quimulá, Acacia, Nogal Cafetero, Roble;10/28/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;20;0.04
1342;olivo de cera, Alcaparro Enano, Chirlobirlo;11/14/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;22;0.044
1337;olivo de cera, Alcaparro Enano, Chirlobirlo;11/14/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;32;0.064
1131;Roble;04/22/2021 12:00:00 AM;sembraton;Medellín;Santa Elena Sector Central;3100;6.2
1757;Quimulá, Guayacan Amarillo, Arrayan de Hoja Pequeña;3/10/2022 0:00;Obligación Contractual;Medellín;Santa Elena Sector Central;75;0.15
1332;Quimulá, Arboloco, Guayabo Liso;10/28/2021 12:00:00 AM;SEMBRATON;Medellín;Santa Elena Sector Central;2000;4
1666;Quimulá, Acacia, Nogal Cafetero;10/28/2021 12:00:00 AM;Obligación Contractual;Medellín;Santa Elena Sector Central;15;0.03
239;Guayabo Comun, Ceiba de Tierra Fria;11/07/2020 0:00;SEMBRATON;Medellín;Santa Elena Sector Central;2;0.004
1175;Amarraboyo, Arrayan Eugenio, Pino Colombiano Romeron, Roble;10/02/2021 0:00;Obligación Contractual;Medellín;Santa Elena Sector Central;46;0.092
686;Cedro, nogal, guayacán;10/12/2020 0:00;Sembraton;Medellín;Sector Central;500;1
328;Carbonero;10/31/2020 12:00:00 AM;Siembra de árboles- Comuna Castilla Med;Medellín;Sector Central;2;0.004
330;BALA DE CAÑON, acacia amarilla;10/31/2020 12:00:00 AM;Siembra de Árboles Comuna Castilla Med;Medellín;Sector Central;3;0.006
329;Frutegallina;10/31/2020 12:00:00 AM;Siembra de árboles Comuna Castilla Med;Medellín;Sector Central;3;0.006
238;Suribio, Naranjo, Limón, Guayaba Freijoa;11/07/2020 0:00;Cada uno un árbol;Medellín;Sector Central;8;0.016
331;JAGUA (GENIPA AMERICANA), ARIZA (BROWNEA ARIZA), PECHUGA DE GALLINA (HASSELTIA FLORIBUNDA), INCHI (CARYODENDRON ORINOCENSE), BALA DE CAÑON;11/07/2020 0:00;Siembra de Árboles Comuna Castilla Med;Medellín;Sector Central;10;0.02
246;Guayacán Amarillo, Guayacan Rosado, Tulipan;11/08/2020 0:00;Sembraton Corantioquia;Medellín;Travesias;4;0.008
590;Acacia Roja, Cámbulo, Alcaparro Enano, Alcaparro Gigante;08/19/2020 12:00:00 AM;Sembraton;Medellín;Volcana Guayabal;850;1.7
